[12:48:55] Initializing...
[12:48:55] Join Server version: JS Compiled at: Nov  3 2023 14:53:54
[12:48:56] [SocketManager] Server started at port [55970]
[12:49:01] [SocketManager] WSAAccept() failed with error: 10061
[12:49:04] [SocketManager] WSAAccept() failed with error: 10061
[12:49:11] [SocketManager] WSAAccept() failed with error: 10061
[12:49:14] [SocketManager] WSAAccept() failed with error: 10061
[12:49:21] [SocketManager] WSAAccept() failed with error: 10061
[12:49:24] [SocketManager] WSAAccept() failed with error: 10061
[12:49:31] [SocketManager] WSAAccept() failed with error: 10061
[12:49:34] [SocketManager] WSAAccept() failed with error: 10061
[12:49:41] [SocketManager] WSAAccept() failed with error: 10061
[12:49:44] [SocketManager] WSAAccept() failed with error: 10061
[12:49:51] [SocketManager] WSAAccept() failed with error: 10061
[12:49:54] [SocketManager] WSAAccept() failed with error: 10061
[12:50:01] [SocketManager] WSAAccept() failed with error: 10061
[12:50:04] [SocketManager] WSAAccept() failed with error: 10061
[12:50:11] [SocketManager] WSAAccept() failed with error: 10061
[12:50:14] [SocketManager] WSAAccept() failed with error: 10061
[12:50:21] [SocketManager] WSAAccept() failed with error: 10061
[12:50:24] [SocketManager] WSAAccept() failed with error: 10061
[12:50:31] [SocketManager] WSAAccept() failed with error: 10061
[12:50:34] [SocketManager] WSAAccept() failed with error: 10061
[12:50:41] [SocketManager] WSAAccept() failed with error: 10061
[12:50:44] [SocketManager] WSAAccept() failed with error: 10061
[12:50:51] [SocketManager] WSAAccept() failed with error: 10061
[12:50:54] [SocketManager] WSAAccept() failed with error: 10061
[12:51:01] [SocketManager] WSAAccept() failed with error: 10061
[12:51:04] [SocketManager] WSAAccept() failed with error: 10061
[12:51:11] [SocketManager] WSAAccept() failed with error: 10061
[12:51:14] [SocketManager] WSAAccept() failed with error: 10061
[12:51:21] [SocketManager] WSAAccept() failed with error: 10061
[12:51:24] [SocketManager] WSAAccept() failed with error: 10061
[12:51:31] [SocketManager] WSAAccept() failed with error: 10061
[12:51:34] [SocketManager] WSAAccept() failed with error: 10061
[12:51:41] [SocketManager] WSAAccept() failed with error: 10061
[12:51:44] [SocketManager] WSAAccept() failed with error: 10061
[12:51:51] [SocketManager] WSAAccept() failed with error: 10061
[12:51:54] [SocketManager] WSAAccept() failed with error: 10061
[12:52:01] [SocketManager] WSAAccept() failed with error: 10061
[12:52:04] [SocketManager] WSAAccept() failed with error: 10061
[12:52:11] [SocketManager] WSAAccept() failed with error: 10061
[12:52:14] [SocketManager] WSAAccept() failed with error: 10061
[12:52:21] [SocketManager] WSAAccept() failed with error: 10061
[12:52:24] [SocketManager] WSAAccept() failed with error: 10061
[12:52:31] [SocketManager] WSAAccept() failed with error: 10061
[12:52:34] [SocketManager] WSAAccept() failed with error: 10061
[12:52:41] [SocketManager] WSAAccept() failed with error: 10061
[12:52:44] [SocketManager] WSAAccept() failed with error: 10061
[12:52:51] [SocketManager] WSAAccept() failed with error: 10061
[12:52:54] [SocketManager] WSAAccept() failed with error: 10061
[12:53:01] [SocketManager] WSAAccept() failed with error: 10061
[12:53:04] [SocketManager] WSAAccept() failed with error: 10061
[12:53:11] [SocketManager] WSAAccept() failed with error: 10061
[12:53:14] [SocketManager] WSAAccept() failed with error: 10061
[12:53:21] [SocketManager] WSAAccept() failed with error: 10061
[12:53:24] [SocketManager] WSAAccept() failed with error: 10061
[12:53:31] [SocketManager] WSAAccept() failed with error: 10061
[12:53:34] [SocketManager] WSAAccept() failed with error: 10061
[12:53:41] [SocketManager] WSAAccept() failed with error: 10061
[12:53:44] [SocketManager] WSAAccept() failed with error: 10061
[12:53:51] [SocketManager] WSAAccept() failed with error: 10061
[12:53:54] [SocketManager] WSAAccept() failed with error: 10061
[12:54:01] [SocketManager] WSAAccept() failed with error: 10061
[12:54:04] [SocketManager] WSAAccept() failed with error: 10061
[12:54:11] [SocketManager] WSAAccept() failed with error: 10061
[12:54:14] [SocketManager] WSAAccept() failed with error: 10061
[12:54:21] [SocketManager] WSAAccept() failed with error: 10061
[12:54:24] [SocketManager] WSAAccept() failed with error: 10061
[12:54:31] [SocketManager] WSAAccept() failed with error: 10061
[12:54:35] [SocketManager] WSAAccept() failed with error: 10061
[12:54:41] [SocketManager] WSAAccept() failed with error: 10061
[12:54:45] [SocketManager] WSAAccept() failed with error: 10061
[12:54:51] [SocketManager] WSAAccept() failed with error: 10061
[12:54:55] [SocketManager] WSAAccept() failed with error: 10061
[12:55:01] [SocketManager] WSAAccept() failed with error: 10061
[12:55:05] [SocketManager] WSAAccept() failed with error: 10061
[12:55:11] [SocketManager] WSAAccept() failed with error: 10061
[12:55:15] [SocketManager] WSAAccept() failed with error: 10061
[12:55:21] [SocketManager] WSAAccept() failed with error: 10061
[12:55:25] [SocketManager] WSAAccept() failed with error: 10061
[12:55:31] [SocketManager] WSAAccept() failed with error: 10061
[12:55:35] [SocketManager] WSAAccept() failed with error: 10061
[12:55:41] [SocketManager] WSAAccept() failed with error: 10061
[12:55:45] [SocketManager] WSAAccept() failed with error: 10061
[12:55:51] [SocketManager] WSAAccept() failed with error: 10061
[12:55:55] [SocketManager] WSAAccept() failed with error: 10061
