[13:11:59] Initializing...
[13:11:59] Join Server version: JS Compiled at: Nov  3 2023 14:53:54
[13:11:59] [SocketManager] Server started at port [55970]
[13:12:05] [SocketManager] WSAAccept() failed with error: 10061
[13:12:10] [SocketManager] WSAAccept() failed with error: 10061
[13:12:15] [SocketManager] WSAAccept() failed with error: 10061
[13:12:20] [SocketManager] WSAAccept() failed with error: 10061
[13:12:25] [SocketManager] WSAAccept() failed with error: 10061
[13:12:30] [SocketManager] WSAAccept() failed with error: 10061
[13:12:35] [SocketManager] WSAAccept() failed with error: 10061
[13:12:40] [SocketManager] WSAAccept() failed with error: 10061
[13:12:45] [SocketManager] WSAAccept() failed with error: 10061
[13:12:50] [SocketManager] WSAAccept() failed with error: 10061
[13:12:55] [SocketManager] WSAAccept() failed with error: 10061
[13:13:00] [SocketManager] WSAAccept() failed with error: 10061
[13:13:05] [SocketManager] WSAAccept() failed with error: 10061
[13:13:10] [SocketManager] WSAAccept() failed with error: 10061
[13:13:15] [SocketManager] WSAAccept() failed with error: 10061
[13:13:20] [SocketManager] WSAAccept() failed with error: 10061
[13:13:25] [SocketManager] WSAAccept() failed with error: 10061
[13:13:30] [SocketManager] WSAAccept() failed with error: 10061
[13:13:35] [SocketManager] WSAAccept() failed with error: 10061
[13:13:40] [SocketManager] WSAAccept() failed with error: 10061
[13:13:45] [SocketManager] WSAAccept() failed with error: 10061
[13:13:50] [SocketManager] WSAAccept() failed with error: 10061
[13:13:55] [SocketManager] WSAAccept() failed with error: 10061
[13:14:00] [SocketManager] WSAAccept() failed with error: 10061
[13:14:05] [SocketManager] WSAAccept() failed with error: 10061
