[12:57:45] Initializing...
[12:57:45] Join Server version: JS Compiled at: Nov  3 2023 14:53:54
[12:57:45] [SocketManager] Server started at port [55970]
[12:57:50] [SocketManager] WSAAccept() failed with error: 10061
[12:57:54] [SocketManager] WSAAccept() failed with error: 10061
[12:58:00] [SocketManager] WSAAccept() failed with error: 10061
[12:58:04] [SocketManager] WSAAccept() failed with error: 10061
[12:58:10] [SocketManager] WSAAccept() failed with error: 10061
[12:58:14] [SocketManager] WSAAccept() failed with error: 10061
[12:58:20] [SocketManager] WSAAccept() failed with error: 10061
[12:58:24] [SocketManager] WSAAccept() failed with error: 10061
[12:58:30] [SocketManager] WSAAccept() failed with error: 10061
[12:58:34] [SocketManager] WSAAccept() failed with error: 10061
[12:58:40] [SocketManager] WSAAccept() failed with error: 10061
[12:58:44] [SocketManager] WSAAccept() failed with error: 10061
