[12:56:03] Initializing...
[12:56:03] Join Server version: JS Compiled at: Nov  3 2023 14:53:54
[12:56:03] [SocketManager] Server started at port [55970]
[12:56:08] [SocketManager] WSAAccept() failed with error: 10061
[12:56:12] [SocketManager] WSAAccept() failed with error: 10061
[12:56:18] [SocketManager] WSAAccept() failed with error: 10061
[12:56:22] [SocketManager] WSAAccept() failed with error: 10061
[12:56:28] [SocketManager] WSAAccept() failed with error: 10061
[12:56:32] [SocketManager] WSAAccept() failed with error: 10061
[12:56:39] [SocketManager] WSAAccept() failed with error: 10061
[12:56:42] [SocketManager] WSAAccept() failed with error: 10061
[12:56:49] [SocketManager] WSAAccept() failed with error: 10061
[12:56:52] [SocketManager] WSAAccept() failed with error: 10061
[12:56:59] [SocketManager] WSAAccept() failed with error: 10061
[12:57:02] [SocketManager] WSAAccept() failed with error: 10061
[12:57:09] [SocketManager] WSAAccept() failed with error: 10061
[12:57:12] [SocketManager] WSAAccept() failed with error: 10061
[12:57:19] [SocketManager] WSAAccept() failed with error: 10061
[12:57:22] [SocketManager] WSAAccept() failed with error: 10061
[12:57:29] [SocketManager] WSAAccept() failed with error: 10061
[12:57:32] [SocketManager] WSAAccept() failed with error: 10061
[12:57:39] [SocketManager] WSAAccept() failed with error: 10061
