[13:25:30] Initializing...
[13:25:30] Data Server version: DS Compiled at: Mar  8 2024 13:59:14
[13:25:31] [SocketManager] Server started at port [55960]
[13:25:35] [SocketManager] WSAAccept() failed with error: 10061
[13:25:45] [SocketManager] WSAAccept() failed with error: 10061
[13:25:55] [SocketManager] WSAAccept() failed with error: 10061
[13:26:05] [SocketManager] WSAAccept() failed with error: 10061
[13:26:15] [SocketManager] WSAAccept() failed with error: 10061
[13:26:25] [SocketManager] WSAAccept() failed with error: 10061
[13:26:35] [SocketManager] WSAAccept() failed with error: 10061
[13:26:45] [SocketManager] WSAAccept() failed with error: 10061
