[12:57:46] Initializing...
[12:57:46] Data Server version: DS Compiled at: Mar  8 2024 13:59:14
[12:57:47] [SocketManager] Server started at port [55960]
[12:57:50] [SocketManager] WSAAccept() failed with error: 10061
[12:57:54] [SocketManager] WSAAccept() failed with error: 10061
[12:58:00] [SocketManager] WSAAccept() failed with error: 10061
[12:58:04] [SocketManager] WSAAccept() failed with error: 10061
[12:58:10] [SocketManager] WSAAccept() failed with error: 10061
[12:58:14] [SocketManager] WSAAccept() failed with error: 10061
[12:58:20] [SocketManager] WSAAccept() failed with error: 10061
[12:58:24] [SocketManager] WSAAccept() failed with error: 10061
[12:58:30] [SocketManager] WSAAccept() failed with error: 10061
[12:58:34] [SocketManager] WSAAccept() failed with error: 10061
[12:58:41] [SocketManager] WSAAccept() failed with error: 10061
[12:58:44] [SocketManager] WSAAccept() failed with error: 10061
