[17:32:14] Initializing...
[17:32:14] Data Server version: DS Compiled at: Mar  8 2024 13:59:14
[17:32:14] [SocketManager] Server started at port [55960]
[17:32:18] [SocketManager] WSAAccept() failed with error: 10061
[17:32:28] [SocketManager] WSAAccept() failed with error: 10061
[17:32:38] [SocketManager] WSAAccept() failed with error: 10061
[17:32:48] [SocketManager] WSAAccept() failed with error: 10061
[17:32:58] [SocketManager] WSAAccept() failed with error: 10061
[17:33:08] [SocketManager] WSAAccept() failed with error: 10061
[17:33:18] [SocketManager] WSAAccept() failed with error: 10061
[17:33:28] [SocketManager] WSAAccept() failed with error: 10061
[17:33:38] [SocketManager] WSAAccept() failed with error: 10061
[17:33:48] [SocketManager] WSAAccept() failed with error: 10061
