[02:58:22] Initializing...
[02:58:22] Data Server version: DS Compiled at: Mar  8 2024 13:59:14
[02:58:22] [SocketManager] Server started at port [55960]
[02:58:32] [SocketManager] WSAAccept() failed with error: 10061
[02:58:41] [SocketManager] WSAAccept() failed with error: 10061
[02:58:42] [SocketManager] WSAAccept() failed with error: 10061
[02:58:51] [SocketManager] WSAAccept() failed with error: 10061
[02:58:52] [SocketManager] WSAAccept() failed with error: 10061
[02:59:01] [SocketManager] WSAAccept() failed with error: 10061
[02:59:02] [SocketManager] WSAAccept() failed with error: 10061
[02:59:11] [SocketManager] WSAAccept() failed with error: 10061
[02:59:12] [SocketManager] WSAAccept() failed with error: 10061
[02:59:21] [SocketManager] WSAAccept() failed with error: 10061
[02:59:22] [SocketManager] WSAAccept() failed with error: 10061
[02:59:31] [SocketManager] WSAAccept() failed with error: 10061
[02:59:32] [SocketManager] WSAAccept() failed with error: 10061
[02:59:41] [SocketManager] WSAAccept() failed with error: 10061
[02:59:42] [SocketManager] WSAAccept() failed with error: 10061
[02:59:51] [SocketManager] WSAAccept() failed with error: 10061
[02:59:52] [SocketManager] WSAAccept() failed with error: 10061
[03:00:01] [SocketManager] WSAAccept() failed with error: 10061
[03:00:02] [SocketManager] WSAAccept() failed with error: 10061
[03:00:11] [SocketManager] WSAAccept() failed with error: 10061
[03:00:12] [SocketManager] WSAAccept() failed with error: 10061
[03:00:21] [SocketManager] WSAAccept() failed with error: 10061
[03:00:22] [SocketManager] WSAAccept() failed with error: 10061
[03:00:31] [SocketManager] WSAAccept() failed with error: 10061
[03:00:32] [SocketManager] WSAAccept() failed with error: 10061
[03:00:41] [SocketManager] WSAAccept() failed with error: 10061
[03:00:42] [SocketManager] WSAAccept() failed with error: 10061
[03:00:51] [SocketManager] WSAAccept() failed with error: 10061
[03:00:52] [SocketManager] WSAAccept() failed with error: 10061
[03:01:01] [SocketManager] WSAAccept() failed with error: 10061
[03:01:02] [SocketManager] WSAAccept() failed with error: 10061
[03:01:11] [SocketManager] WSAAccept() failed with error: 10061
[03:01:12] [SocketManager] WSAAccept() failed with error: 10061
[03:01:21] [SocketManager] WSAAccept() failed with error: 10061
[03:01:22] [SocketManager] WSAAccept() failed with error: 10061
[03:01:31] [SocketManager] WSAAccept() failed with error: 10061
[03:01:32] [SocketManager] WSAAccept() failed with error: 10061
[03:01:41] [SocketManager] WSAAccept() failed with error: 10061
[03:01:42] [SocketManager] WSAAccept() failed with error: 10061
[03:01:51] [SocketManager] WSAAccept() failed with error: 10061
[03:01:52] [SocketManager] WSAAccept() failed with error: 10061
[03:02:01] [SocketManager] WSAAccept() failed with error: 10061
[03:02:02] [SocketManager] WSAAccept() failed with error: 10061
[03:02:11] [SocketManager] WSAAccept() failed with error: 10061
[03:02:12] [SocketManager] WSAAccept() failed with error: 10061
[03:02:21] [SocketManager] WSAAccept() failed with error: 10061
[03:02:22] [SocketManager] WSAAccept() failed with error: 10061
[03:02:31] [SocketManager] WSAAccept() failed with error: 10061
[03:02:32] [SocketManager] WSAAccept() failed with error: 10061
[03:02:41] [SocketManager] WSAAccept() failed with error: 10061
[03:02:42] [SocketManager] WSAAccept() failed with error: 10061
[03:02:51] [SocketManager] WSAAccept() failed with error: 10061
[03:02:52] [SocketManager] WSAAccept() failed with error: 10061
[03:03:01] [SocketManager] WSAAccept() failed with error: 10061
[03:03:02] [SocketManager] WSAAccept() failed with error: 10061
[03:03:11] [SocketManager] WSAAccept() failed with error: 10061
[03:03:12] [SocketManager] WSAAccept() failed with error: 10061
[03:03:21] [SocketManager] WSAAccept() failed with error: 10061
[03:03:22] [SocketManager] WSAAccept() failed with error: 10061
[03:03:31] [SocketManager] WSAAccept() failed with error: 10061
[03:03:32] [SocketManager] WSAAccept() failed with error: 10061
[03:03:41] [SocketManager] WSAAccept() failed with error: 10061
[03:03:42] [SocketManager] WSAAccept() failed with error: 10061
[03:03:51] [SocketManager] WSAAccept() failed with error: 10061
[03:03:53] [SocketManager] WSAAccept() failed with error: 10061
[03:04:03] [SocketManager] WSAAccept() failed with error: 10061
[03:04:05] [SocketManager] WSAAccept() failed with error: 10061
[03:04:15] [SocketManager] WSAAccept() failed with error: 10061
[03:04:15] [SocketManager] WSAAccept() failed with error: 10061
